147248080 16
147248640 56
147249728 2272
147250336 8
147250344 8
147250352 8
147250360 8
147250368 8
147250376 8
147252216 16
147254880 4800
147255472 16
147255488 16
147255504 16
147255520 16
147255536 16
147255552 16
147255568 16
147255584 16
147255600 16
147256160 56
147256224 56
147256280 56
147256336 56
147256392 56
147256448 56
147256504 56
147256560 56
147256616 56
147256672 56
147258848 16
147258992 8
147259000 8
147259008 8
147259016 8
147259024 8
147259032 8
147259040 8
147259760 16
147259792 131072
147260496 4952
147265448 4872
147270320 72
147270392 4888
147275280 112
147275392 96
147275488 8
147275504 56
147275560 56
147275616 56
147275672 56
147275728 56
147275784 56
147275840 56
147275896 56
147275968 16
147276128 8
147277984 8
147277992 8
147278000 8
147278008 8
147278016 8
147278024 8
147278032 8
147278640 5176
147279328 864
147280000 112
147280008 16
147280272 904
147280992 21352
147285120 16
147302344 21288
147323632 296
147323928 21168
147342856 10784
147345096 360
147345456 328
147353640 10984
147363584 10784
147364624 328
147364952 11136
147365104 1872
147365112 328
147365432 48
147365440 48
147365480 344
147365488 344
147365824 192
147365832 192
147366016 8
147366024 32
147366032 32
147366056 8
147366064 336
147366072 336
147366400 240
147366408 240
147366640 224
147366648 224
147366864 128
147366872 128
147366976 1736
147366992 32
147367000 32
147367024 8
147367032 8
147367040 21536
147367064 392
147367080 56
147367136 56
147367152 392
147367192 56
147367248 56
147367304 56
147367360 56
147367416 56
147367456 40
147367472 56
147367496 328
147367528 56
147367544 40
147367584 328
147367632 8
147367640 56
147367648 8
147367656 8
147367664 8
147367672 8
147367680 8
147367688 8
147367696 56
147367704 8
147367712 8
147367720 8
147367728 8
147367736 8
147367744 8
147367752 56
147367760 8
147367768 8
147367776 8
147367784 8
147367792 8
147367800 8
147367808 56
147367816 8
147367824 256
147367832 8
147367840 8
147367848 8
147367856 8
147367864 56
147367872 8
147367880 8
147367888 8
147367896 8
147367912 256
147367920 56
147367976 56
147368032 56
147368080 24
147368088 56
147368104 40
147368144 8
147368152 312
147368168 24
147368192 40
147368200 56
147368232 8
147368240 312
147368256 56
147368312 56
147368368 56
147368424 56
147368464 240
147368480 56
147368536 56
147368552 240
147368592 56
147368648 56
147368704 216
147368712 1808
147368760 56
147368792 216
147368816 56
147368872 56
147368920 120
147368928 56
147368984 56
147369008 120
147369040 24
147369064 24
147369088 8
147369128 24
147369152 24
147369176 8
147370520 1784
147372304 1800
147373808 56
147373864 56
147373920 56
147373976 56
147374032 56
147374088 56
147374104 1776
147374144 56
147374200 56
147374256 56
147374312 56
147375344 16
147375880 496
147376088 376
147376464 344
147376808 16
147377056 8
147379408 56
147381184 8
147381192 8
147381200 8
147381208 8
147381216 8
147381224 8
147381232 8
147381312 2392
147387440 8
147387448 8
147387456 8
147387464 8
147387472 8
147387480 8
147387488 8
147390432 8
147430864 16
147430880 16
147430896 16
147430912 16
147430928 16
147430944 16
147430960 16
147430976 16
147430992 16
147431552 56
147431872 36096
147431920 223744
147455744 21536
147467968 4616
147472584 34440
147477280 20936
147498216 384
147498600 21216
147507024 36216
147519816 336
147520152 352
147520504 8
147543240 3456
147546696 4520
147551216 1208
147552424 32208
147562944 131072
147563312 131072
147584632 35088
147619720 30208
147649928 23696
147655664 227384
147673624 2488
147676112 3616
147679728 896
147694016 1024
147694384 131072
147695040 131072
147825456 1024
147826112 1024
147826480 131072
147827136 1024
147828160 8
147865168 4952
147870120 4872
147874992 72
147875064 4888
147879952 112
147880064 96
147880160 8
147880344 6632
147883048 1888
147884936 220888
147886976 6616
147893592 728
147894320 6656
147900976 800
147901776 736
147902512 72
147916304 568
147916760 128
147916888 120
147917008 16
147917024 120
147917144 24
147917168 16
147917208 112
147917320 112
147917432 24
147917456 104
147917560 32
147917592 8
147917600 8
147957552 1024
147958576 1024
147959472 6632
147959600 8
147966104 6616
147972720 728
147973216 14128
147973448 6656
147980104 800
147980904 736
147981640 72
147987344 1384
147988728 13888
148002616 1736
148004352 1504
148005856 96
148007744 16
148007760 16
148007776 16
148007792 16
148007808 16
148007824 16
148007840 16
148007856 16
148007872 16
148007888 16
148008432 56
148008496 56
148008552 56
148008608 56
148008664 56
148008720 56
148008776 56
148008832 56
148008888 56
148008944 56
148009000 56
148105824 1928
148107752 1624
148109376 32
148109424 223744
148333168 227384
148457712 36096
148493808 4616
148498424 34440
148532864 36216
148560552 1888
148562440 220888
148569080 3456
148572536 4520
148577056 1208
148578264 32208
148588784 131072
148610472 35088
148645560 30208
148675768 23696
148699464 2488
148701952 3616
148705568 896
148719856 1024
148720880 131072
148783328 1928
148785256 1624
148786880 32
148786928 226064
148851952 1024
148852976 1024
148854000 8
149012992 223008
149236000 1664
149237664 223032
149460696 1648
149462344 1752
149464096 16
149464128 226064
149690192 223008
149913200 1664
149914864 223032
150137896 1648
150139544 1752
150141296 16
150438024 4952
150439920 6632
150442976 4872
150446552 6616
150447848 72
150447920 4888
150452808 112
150452920 96
150453016 8
150453048 4800
150453168 728
150453896 6656
150457848 5176
150460552 800
150461352 736
150462088 72
150463024 80
150463104 5072
150468176 104
150468280 136
150607472 80176
150687648 77080
150764728 744
150765472 77464
150842936 1168
150844104 936
150845040 56
150845104 80176
150925280 77080
151002360 744
151003104 77464
151080568 1168
151081736 936
151082672 56
151082736 76880
151159616 84808
151169360 68520
151173472 8
151173480 8
151173488 8
151173496 8
151173504 8
151173512 8
151173520 8
151173528 8
151173536 8
151173544 8
151173552 8
151173560 8
151173568 8
151173576 8
151173584 8
151173592 8
151173600 8
151173608 8
151173616 8
151173624 8
151173632 8
151173640 8
151173648 8
151173656 8
151173664 8
151173672 8
151173680 8
151173688 8
151173696 8
151173704 8
151173712 8
151173720 8
